isShortSale,source,yearBuilt,nextOpenHouseEndTime,sqft,lastSaleDate,id,state,county,longitude,zip,tax,mls_id,daysOnMarket,homeType,property_type,property_sub_type,beds,num_of_units,favorite,city,saleType,latitude,nextOpenHouseDate,recentReductionDate,title,rent_appreciation_rate,originalListPrice,parkingSpots,parkingType,address,nextOpenHouseStartTime,lotSize,url,baths,address_revealing,location,interested,listPrice,price_per_sqft,lastSalePrice,is_foreclosure,foreclosure_status,occupancy_status,owner_occupied,heating_system,cooling_system,walkscore,investment_likelihood_label,investment_likelihood_score,investment_likelihood_stars,hoa_dues,view_type,parcel_number,architecture_style,has_pool,is_water_front,needs_repair,tenant_occupied,is_market_place,schools
,Redfin Corporation,2008.0,4:00 PM,860,,2484660,IL,Cook County,-87.63558197021484,60610,5334.58,11195398,6,Condo/Coop,Residential,Condominium,1,,,Chicago,MLS Listing,41.8980598449707,2021-08-08,,"Condo,High Rise (7+ Stories) - Chicago, IL",,,1.0,Garage,849 North Franklin Street #1002,2:00 PM,,https://listings.listhub.net/pages/MREDIL/11195398/?channel=mashv,1,True,Near North,,284900,331.27906976744185,,0,,,False,Fireplace,Central A/C,,1,100.0,,566.0,,17044450171145,High Rise,,,0,0,0,"[{'category': 'Elementary', 'name': 'Ogden Elementary', 'district': '299'}, {'category': 'High', 'name': 'Wells Community Academy Senior H', 'district': '299'}, {'category': 'JuniorHigh', 'name': 'Ogden Elementary', 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Keller Williams Chicago ONEChicago,1972.0,,750,,828010,IL,Cook County,-87.6250991821289,60611,4547.16,11190873,10,Condo/Coop,Residential,Condominium,1,,,Chicago,MLS Listing,41.90019989013672,,,"Condo,High Rise (7+ Stories) - Chicago, IL",,,,Garage,100 East Walton Street #25E,,,https://listings.listhub.net/pages/MREDIL/11190873/?channel=mashv,1,True,Near North,,225000,300.0,,0,,,False,Forced Air (Natural Gas),Central A/C,,1,100.0,,759.0,,17032070611114,High Rise,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Metro Realty Inc.,1972.0,,750,2014-09-19 00:00:00,2086285,IL,Cook County,-87.62550354003906,60611,4460.0,10850504,352,Condo/Coop,Residential,Condominium,1,,,Chicago,MLS Listing,41.90029907226563,,,"Condo,High Rise (7+ Stories) - Chicago, IL",,,,Garage,100 East Walton Street #25H,,1168.0,https://listings.listhub.net/pages/MREDIL/10850504/?channel=mashv,1,True,Near North,,254900,339.8666666666667,5012000.0,0,,,False,Fireplace (Natural Gas),Central A/C,,1,100.0,,785.0,,17032070611117,High Rise,,,0,0,0,"[{'category': 'Elementary', 'name': 'Ogden Elementary', 'district': '299'}, {'category': 'High', 'name': 'Hope College Prep High School', 'district': '299'}, {'category': 'JuniorHigh', 'name': 'Manierre Elementary School', 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Realistic Realty LLC,1926.0,,1092,,2508620,IL,Cook County,-87.77155303955078,60630,3020.0,11180688,21,Single Family Residential,Residential,Single Family Detached,2,,,Chicago,MLS Listing,41.96369171142578,,,"1.5 Story - Chicago, IL",,,2.0,Garage,5745 West Wilson Avenue,,4312.0,https://listings.listhub.net/pages/MREDIL/11180688/?channel=mashv,2,True,Portage Park,,324000,296.7032967032967,,0,,,False,Hot Water,Window Unit(s) A/C,,1,99.93,,,,13172210040000,Other,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,RE/MAX Cityview,2004.0,,1400,,2529865,IL,Cook County,-87.73111724853516,60641,5137.0,11194414,7,Condo/Coop,Residential,Condominium,3,,,Chicago,MLS Listing,41.95494079589844,,,"Condo - Chicago, IL",,,1.0,,4044 North Kedvale Avenue #2A,,,https://listings.listhub.net/pages/MREDIL/11194414/?channel=mashv,2,True,Old Irving Park,,319900,228.5,,0,,,False,Forced Air (Natural Gas),Central A/C,,1,99.89,,172.0,,13154220301002,Other,,,0,0,0,"[{'category': 'Elementary', 'name': 'Disney Elementary School Magnet ', 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Century 21 Pro-Team,1948.0,,1200,,2527402,IL,Cook County,-87.79045867919922,60638,2053.87,11193023,8,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.78923034667969,,,"2 Stories, A-Frame - Chicago, IL",,,2.0,Garage,5636 South Rutherford Avenue,,3920.0,https://listings.listhub.net/pages/MREDIL/11193023/?channel=mashv,1,True,Clearing (W),,324900,270.75,,0,,,False,,Central A/C,,1,99.88,,,,19182080630000,Other,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,SU FAMILIA REAL ESTATE,1961.0,,1641,,2484890,IL,Cook County,-87.67302703857422,60636,1704.03,11162233,38,Single Family Residential,Residential,Single Family Detached,4,,,Chicago,MLS Listing,41.76301956176758,,,"1 Story, Ranch - Chicago, IL",,,2.0,Garage,7159 South Damen Avenue,,3123.0,https://listings.listhub.net/pages/MREDIL/11162233/?channel=mashv,2,True,Lithuanian Plaza,,195000,118.82998171846435,,0,,,False,,Central A/C,,1,99.83,,,,20302000280000,Ranch,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Manuel Torres Brokerage,1929.0,,2216,,2485247,IL,Cook County,-87.78397369384766,60630,6243.58,11164947,35,Single Family Residential,Residential,Single Family Detached,4,,,Chicago,MLS Listing,41.96271133422852,,,"2 Stories - Chicago, IL",,,2.0,Garage,4525 North Mobile Avenue,,4051.0,https://listings.listhub.net/pages/MREDIL/11164947/?channel=mashv,2,True,Big Oaks,,469900,212.04873646209387,,0,,,False,,Central A/C,,1,99.75,,,,13171100140000,Other,,,0,0,0,"[{'category': 'Elementary', 'name': 'Smyser Elementary School', 'district': '299'}, {'category': 'High', 'name': 'Taft High School', 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,Dream Town Realty,1956.0,2:00 PM,1709,,2504485,IL,Cook County,-87.6827621459961,60655,2369.0,11178599,22,Single Family Residential,Residential,Single Family Detached,3,,,Chicago,MLS Listing,41.67882919311523,2021-08-07,,"2 Stories - Chicago, IL",,,2.0,Garage,11801 South Campbell Avenue,11:00 AM,,https://listings.listhub.net/pages/MREDIL/11178599/?channel=mashv,2,True,Beverly Woods,,270000,157.9871269748391,,0,,,False,Fireplace (Natural Gas),Central A/C,,1,99.71,,,,24244190010000,Other,,,0,0,0,"[{'category': 'Elementary', 'name': 'Clissold Elementary School', 'district': '299'}, {'category': 'High', 'name': 'Morgan Park High School', 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
,"PRS ASSOCIATES,INC.",1910.0,,2702,,2418336,IL,Cook County,-87.67218017578125,60643,7928.52,11119756,76,Single Family Residential,Residential,Single Family Detached,4,,,Chicago,MLS Listing,41.7093505859375,,,"3 Stories, Traditional - Chicago, IL",,,2.0,,2004 West 101st Place,,7144.0,https://listings.listhub.net/pages/MREDIL/11119756/?channel=mashv,3,True,East Beverly,,489900,181.3101406365655,,0,,,False,Radiant,Central A/C,,1,99.65,,,,25073210210000,New Traditional,,,0,0,0,"[{'category': 'Elementary', 'name': None, 'district': '299'}, {'category': 'High', 'name': None, 'district': '299'}, {'category': 'JuniorHigh', 'name': None, 'district': '299'}, {'category': 'Middle', 'name': None, 'district': '299'}]"
